name,price,url
100% Dark Hot Chocolate Flakes,£9.95,/products/100-dark-hot-chocolate-flakes
2.5kg Bulk 41% Milk Hot Chocolate Drops,£45.00,/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5kg Bulk 61% Dark Hot Chocolate Drops,£45.00,/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,£8.75,/products/41-colombian-milk-hot-chocolate-drops
61% Dark Hot Chocolate Drops,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£6.50",/products/62-dark-hot-chocolate
70% Dark Hot Chocolate Flakes,£9.95,/products/70-dark-hot-chocolate-flakes
Almost Perfect,"From £0.00
",/products/almost-perfect
Assorted Chocolate Malt Balls,£8.95,/products/assorted-chocolate-malt-balls
Autumn Mystery Box,£29.95,/products/autumn-mystery-box
Blonde Caramel,£4.95,/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb,£9.00,/products/blonde-chocolate-honeycomb
Blonde Chocolate Honeycomb - Bag,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£5.00",/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,£8.95,/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,£17.50,/products/blonde-chocolate-truffles
Blonde Hot Chocolate Flakes,£9.95,/products/blonde-hot-chocolate-flakes
Box of the Month,£24.50,/products/box-of-the-month-subscription-1
Box of the Month (12 month gift subscription),"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£250.00",/products/box-of-the-month-12-month-gift-subscription
Box of the Month (3 month gift subscription),"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£70.00",/products/box-of-the-month-3-month-gift-subscription
Box of the Month (6 month gift subscription),"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£130.00",/products/box-of-the-month-6-month-gift-subscription
Bulk 41% Milk Hot Chocolate Drops 750 grams,£17.50,/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 grams,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£12.50",/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Milk,£4.95,/products/caramelised-milk-chocolate-bar
Chocolate Caramelised Pecan Nuts,£8.95,/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,£65.00,/products/celebration-hamper
Christmas Cracker,£5.00,/products/christmas-cracker-chocolate-bar
Cinnamon Toast,£5.00,/products/cinnamon-toast-chocolate-bar
Coconut Easter Egg,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£16.00",/products/coconut-easter-egg
Colombia 61%,£4.95,/products/colombian-dark-chocolate-bar
Crunchy Biscuit,£4.95,/products/crunchy-biscuit-blonde-chocolate-bar
Dark Chocolate Ginger,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£5.00",/products/dark-chocolate-ginger
Dark Chocolate Honeycomb,£9.00,/products/dark-chocolate-honeycomb-1
Dark Chocolate Honeycomb - Bag,£8.50,/products/dark-chocolate-honeycomb
Dark Chocolate Honeycomb Egg & Honeycomb (Large),£25.00,/products/hokey-pokey-large-wicked-egg-honeycomb
Dark Chocolate Malt Balls,£8.95,/products/dark-chocolate-malt-balls
